Ch1 Amplitude,Ch2 Amplitude,Cluster
1195.15186,,1
1255.09656,,1
1506.9762,,1
1697.1908,,1
1764.0575,,1
1845.24377,,1
1913.06958,,1
1962.561,,1
1993.80469,,1
1996.73267,,1
1997.26672,,1
2014.871,,1
2019.15393,,1
2019.87988,,1
2041.03931,,1
2079.15259,,1
2092.9104,,1
2097.527,,1
2115.17725,,1
2116.28125,,1
2148.31934,,1
2150.35474,,1
2158.57153,,1
2176.44263,,1
2177.90747,,1
2188.73413,,1
2189.60278,,1
2196.68726,,1
2203.78027,,1
2217.032,,1
2218.12158,,1
2221.42017,,1
2224.7146,,1
2225.57617,,1
2226.98657,,1
2233.4043,,1
2233.659,,1
2235.08032,,1
2236.44458,,1
2236.49683,,1
2237.85815,,1
2239.501,,1
2239.73926,,1
2240.92236,,1
2244.81982,,1
2255.35522,,1
2255.8645,,1
2256.52881,,1
2258.12964,,1
2258.94531,,1
2261.73169,,1
2262.05762,,1
2262.25952,,1
2263.541,,1
2267.472,,1
2274.57153,,1
2275.021,,1
2279.0498,,1
2279.34814,,1
2281.737,,1
2282.7644,,1
2282.94263,,1
2284.492,,1
2284.53149,,1
2285.538,,1
2288.056,,1
2288.91846,,1
2289.51953,,1
2289.741,,1
2296.267,,1
2297.07153,,1
2297.91943,,1
2298.17383,,1
2301.35474,,1
2302.09644,,1
2306.80078,,1
2307.664,,1
2308.048,,1
2309.73022,,1
2309.83521,,1
2314.01172,,1
2314.1062,,1
2315.59546,,1
2319.62769,,1
2320.28369,,1
2327.9812,,1
2328.23535,,1
2329.57324,,1
2330.67456,,1
2331.31714,,1
2331.73535,,1
2332.2002,,1
2332.542,,1
2332.70313,,1
2333.06,,1
2333.47974,,1
2335.28125,,1
2337.30859,,1
2337.94922,,1
2339.83032,,1
2341.24585,,1
2341.25,,1
2341.47974,,1
2341.88843,,1
2341.999,,1
2342.26758,,1
2346.235,,1
2348.982,,1
2349.05762,,1
2349.38452,,1
2350.79785,,1
2351.561,,1
2352.485,,1
2352.68286,,1
2352.934,,1
2353.12231,,1
2353.516,,1
2354.57422,,1
2357.10156,,1
2357.191,,1
2357.287,,1
2360.713,,1
2363.47949,,1
2364.273,,1
2364.70166,,1
2372.81787,,1
2373.48462,,1
2374.73755,,1
2375.54443,,1
2376.64966,,1
2377.45215,,1
2379.30054,,1
2379.82031,,1
2380.2627,,1
2380.562,,1
2380.75952,,1
2381.77759,,1
2383.89819,,1
2387.30273,,1
2388.24023,,1
2389.279,,1
2391.428,,1
2392.20337,,1
2392.22046,,1
2395.46387,,1
2396.944,,1
2399.17773,,1
2399.65625,,1
2399.80078,,1
2400.2356,,1
2400.977,,1
2401.32813,,1
2401.907,,1
2401.91431,,1
2402.02344,,1
2403.88037,,1
2404.45947,,1
2406.788,,1
2408.056,,1
2409.74658,,1
2412.31763,,1
2412.44165,,1
2414.45825,,1
2416.25952,,1
2419.33276,,1
2420.009,,1
2420.31079,,1
2421.624,,1
2424.3894,,1
2425.45776,,1
2425.75977,,1
2426,,1
2426.11475,,1
2426.389,,1
2427.38745,,1
2427.88379,,1
2429.26685,,1
2429.47168,,1
2430.50928,,1
