Ch1 Amplitude,Ch2 Amplitude,Cluster
1531.53418,,1
1554.24243,,1
1643.55151,,1
1643.80176,,1
1670.99536,,1
1778.63745,,1
1832.28333,,1
1843.18958,,1
1866.33252,,1
1874.08948,,1
1883.59082,,1
1901.38428,,1
1917.03955,,1
1919.78088,,1
1931.07861,,1
1936.98425,,1
1939.64771,,1
1946.37708,,1
1946.64648,,1
1954.71387,,1
1961.05786,,1
1964.04651,,1
1967.36023,,1
1971.399,,1
1987.37036,,1
1988.67383,,1
1992.682,,1
1993.40332,,1
2003.99109,,1
2017.54443,,1
2025.367,,1
2032.75378,,1
2033.09424,,1
2033.17712,,1
2042.92,,1
2049.92822,,1
2051.41455,,1
2052.73047,,1
2053.067,,1
2057.25122,,1
2067.848,,1
2077.131,,1
2077.20752,,1
2081.4668,,1
2081.48242,,1
2082.041,,1
2083.72266,,1
2084.32251,,1
2095.573,,1
2099.0603,,1
2108.378,,1
2110.496,,1
2111.69971,,1
2114.70728,,1
2115.916,,1
2116.50635,,1
2121.293,,1
2121.60278,,1
2126.368,,1
2126.38428,,1
2130.82886,,1
2133.70313,,1
2137.10522,,1
2141.97754,,1
2144.36548,,1
2145.40186,,1
2148.446,,1
2150.728,,1
2151.70459,,1
2158.794,,1
2159.423,,1
2160.843,,1
2163.923,,1
2165.43286,,1
2168.87,,1
2169.38965,,1
2181.35986,,1
2181.7395,,1
2185.78271,,1
2189.43945,,1
2192.449,,1
2195.87256,,1
2200.4917,,1
2202.303,,1
2202.70728,,1
2203.68237,,1
2206.48975,,1
2208.70874,,1
2210.15332,,1
2211.007,,1
2214.14966,,1
2215.49536,,1
2215.52759,,1
2216.89526,,1
2217.02832,,1
2217.38745,,1
2222.16284,,1
2222.34888,,1
2224.245,,1
2225.987,,1
2228.21216,,1
2229.097,,1
2229.178,,1
2236.35815,,1
2236.9458,,1
2240.35352,,1
2241.998,,1
2243.89624,,1
2246.30933,,1
2246.9,,1
2251.86621,,1
2252.04248,,1
2255.04175,,1
2255.733,,1
2257.04663,,1
2257.89844,,1
2258.692,,1
2259.6687,,1
2260.27075,,1
2260.79639,,1
2261.48853,,1
2261.5083,,1
2261.54956,,1
2261.867,,1
2261.9834,,1
2263.206,,1
2263.80981,,1
2266.3877,,1
2266.39355,,1
2267.837,,1
2270.897,,1
2270.92529,,1
2272.665,,1
2274.49756,,1
2275.32861,,1
2276.91,,1
2276.96338,,1
2278.58813,,1
2279.56836,,1
2279.92358,,1
2280.00562,,1
2280.067,,1
2280.31177,,1
2282.12622,,1
2282.32837,,1
2282.68628,,1
2282.83838,,1
2283.19629,,1
2283.69043,,1
2283.71,,1
2283.75439,,1
2284.00122,,1
2284.48755,,1
2284.65723,,1
2287.055,,1
2287.176,,1
2287.495,,1
2288.228,,1
2288.29932,,1
2288.35132,,1
2288.50537,,1
2288.868,,1
2289.12842,,1
2289.45337,,1
2289.66748,,1
2290.24561,,1
2290.29663,,1
2291.77319,,1
2292.02734,,1
2292.02832,,1
2292.547,,1
2292.63452,,1
2293.46313,,1
2293.977,,1
2294.14355,,1
2295.139,,1
2295.92358,,1
2296.138,,1
2296.689,,1
2296.70923,,1
2297.04761,,1
2297.11328,,1
2297.35986,,1
2298.53687,,1
2299.53442,,1
2299.56055,,1
2299.62061,,1
2300.06421,,1
2300.4436,,1
2301.92261,,1
2302.04175,,1
2303.1814,,1
2304.08765,,1
2305.36279,,1
2306.62524,,1
2306.7605,,1
2307.393,,1
2307.452,,1
2308.78857,,1
2308.98486,,1
2309.12451,,1
2309.22729,,1
2310.506,,1
2310.881,,1
2311.32813,,1
2312.14185,,1
2313.14844,,1
2313.22876,,1
2313.753,,1
2313.83667,,1
2314.524,,1
2314.89282,,1
2315.92261,,1
2317.72827,,1
2319.35425,,1
2320.37,,1
2321.22632,,1
2321.38062,,1
2321.39136,,1
2321.89282,,1
2323.10645,,1
2323.41284,,1
2323.93115,,1
2324.04028,,1
2324.3125,,1
2324.81445,,1
2324.82056,,1
2324.924,,1
2325.28345,,1
2325.942,,1
2326.229,,1
2326.67017,,1
2327.37231,,1
2328.583,,1
2329.76025,,1
2330.60059,,1
2330.62061,,1
2330.67041,,1
2332.33325,,1
2332.35815,,1
2333.13281,,1
2333.41724,,1
2333.45728,,1
2333.57617,,1
2333.70752,,1
2333.79517,,1
2334.12085,,1
2334.122,,1
2336.40381,,1
2337.60474,,1
2337.65259,,1
2337.75146,,1
2337.7627,,1
2338.10645,,1
2338.48462,,1
2338.87646,,1
2339.48145,,1
2339.608,,1
2340.29224,,1
2340.834,,1
2340.87,,1
2340.984,,1
2341.12085,,1
2341.61328,,1
2341.805,,1
2342.10913,,1
2342.607,,1
2344.03516,,1
2345.03735,,1
2345.15015,,1
2345.264,,1
2345.326,,1
2346.69263,,1
2347.18066,,1
2347.286,,1
2347.30151,,1
2347.83618,,1
2348.15918,,1
2349.7876,,1
2350.4314,,1
2350.516,,1
2351.13428,,1
2352.792,,1
2353.38013,,1
2353.4895,,1
2353.88379,,1
2354.021,,1
2354.13428,,1
2355.576,,1
2356.0686,,1
2357.29053,,1
2357.89868,,1
2358.08,,1
2358.289,,1
2358.51636,,1
2358.65259,,1
2358.8894,,1
2359.78442,,1
2360.07031,,1
2360.31274,,1
2360.442,,1
2361.30029,,1
2362.04272,,1
2362.87329,,1
2363.162,,1
2363.33154,,1
2363.989,,1
2364.45825,,1
2364.67358,,1
2365.96851,,1
2366.2793,,1
2366.55859,,1
2367.15942,,1
2367.56128,,1
2368.53442,,1
2369.20532,,1
2370.17236,,1
2370.91626,,1
2370.99121,,1
2371.26416,,1
2371.5813,,1
2371.91479,,1
2372.53345,,1
2372.57959,,1
2372.60254,,1
2372.73242,,1
2372.925,,1
2373.534,,1
2374.53882,,1
2374.59058,,1
2375.1145,,1
2375.44019,,1
2376.32935,,1
2376.638,,1
2377.02026,,1
2377.42,,1
2378.11841,,1
2378.27124,,1
2378.35913,,1
2378.422,,1
2378.44019,,1
2379.69263,,1
2380.16846,,1
2380.44751,,1
2381.513,,1
2381.64771,,1
2381.664,,1
2381.976,,1
2381.9856,,1
2382.80444,,1
2382.89868,,1
2383.13867,,1
2383.78857,,1
2384.03564,,1
2384.10864,,1
2385.05,,1
2385.264,,1
2385.82666,,1
2386.34,,1
2386.48071,,1
2386.70166,,1
2386.776,,1
2387.22974,,1
2387.48364,,1
2388.57886,,1
2389.024,,1
2389.317,,1
2389.92529,,1
2389.977,,1
2390.04272,,1
2390.29346,,1
2390.35669,,1
2390.403,,1
2390.743,,1
2390.78418,,1
2391.21,,1
2391.73657,,1
2391.79346,,1
2392.61768,,1
2392.75781,,1
2392.79,,1
2392.83838,,1
2392.847,,1
2393.35,,1
2393.37939,,1
2393.41748,,1
2394.0332,,1
2394.141,,1
2394.43774,,1
2394.452,,1
2394.49048,,1
2394.53345,,1
2395.64624,,1
2395.73657,,1
2395.8728,,1
2395.88159,,1
2396.19238,,1
2396.25732,,1
2396.65332,,1
2397.1582,,1
2397.47583,,1
2397.48315,,1
2397.628,,1
2398.03833,,1
2398.23584,,1
2398.435,,1
2398.56519,,1
2398.82544,,1
2399.40674,,1
2399.48633,,1
2399.60669,,1
2399.82227,,1
2399.92261,,1
2400.68164,,1
2400.7124,,1
2401.546,,1
2401.80273,,1
2401.89624,,1
2402.03174,,1
2402.05078,,1
2402.82446,,1
2403.58984,,1
2403.8855,,1
2403.961,,1
2404.09839,,1
2404.27759,,1
2404.82617,,1
2405.39941,,1
2405.552,,1
2406.008,,1
2406.3938,,1
2406.466,,1
2406.66016,,1
2406.84448,,1
2407.17334,,1
2407.39917,,1
2407.64917,,1
2407.841,,1
2407.94165,,1
2408.13184,,1
2408.18213,,1
2408.34937,,1
2408.84717,,1
2408.99072,,1
2409.252,,1
2409.51563,,1
2409.81177,,1
2411.041,,1
2411.147,,1
2411.37085,,1
2411.41821,,1
2412.122,,1
2412.14771,,1
2412.83838,,1
2412.92114,,1
2413.467,,1
2414.27271,,1
2414.32324,,1
2414.33862,,1
2414.37769,,1
2414.451,,1
2414.6084,,1
2414.87256,,1
2415.998,,1
2416.09644,,1
2416.11841,,1
2416.79761,,1
2416.97388,,1
2417.05,,1
2417.142,,1
2417.16455,,1
2417.49683,,1
2417.72241,,1
2417.72974,,1
2417.89282,,1
2418.0564,,1
2418.182,,1
2418.48633,,1
2418.57813,,1
2418.79,,1
2418.9248,,1
2419.126,,1
2419.43115,,1
2419.76855,,1
2419.78955,,1
2419.90942,,1
2419.90967,,1
2420.0625,,1
2420.17383,,1
2420.52271,,1
2420.77222,,1
2420.85254,,1
2420.971,,1
2421.154,,1
2421.301,,1
2421.35718,,1
2421.84717,,1
2422.07,,1
2422.17432,,1
2422.30444,,1
2422.31738,,1
2422.42529,,1
2423.22266,,1
2423.26221,,1
2423.42139,,1
2423.45435,,1
2423.61084,,1
2423.87061,,1
2424.24219,,1
2424.39038,,1
2424.407,,1
2424.433,,1
2424.4895,,1
2424.53223,,1
2424.73242,,1
2425.19849,,1
2425.204,,1
2425.20728,,1
2425.567,,1
2425.66455,,1
2425.81372,,1
2425.82568,,1
2426.24316,,1
2426.89087,,1
2427.90527,,1
2428.07031,,1
2428.588,,1
2428.88086,,1
2429.05786,,1
2429.483,,1
2429.64355,,1
2429.671,,1
2429.95068,,1
2431.07056,,1
2431.31,,1
2431.387,,1
2431.588,,1
2431.73169,,1
2431.85059,,1
2432.154,,1
2432.46924,,1
2432.825,,1
2433.43433,,1
2433.65454,,1
2433.86475,,1
2434.22949,,1
2434.42,,1
2434.46021,,1
2434.62183,,1
2434.76929,,1
2434.817,,1
2434.99268,,1
2435.57739,,1
2435.6875,,1
2435.95728,,1
2436.03345,,1
2436.15283,,1
2436.601,,1
2436.784,,1
2436.79468,,1
2436.90771,,1
2437.02417,,1
2437.12378,,1
2437.14526,,1
2437.6377,,1
2437.83374,,1
2437.84326,,1
2438.374,,1
2438.58252,,1
2438.85742,,1
2438.9812,,1
2439.23682,,1
2439.55518,,1
2439.60864,,1
2439.67188,,1
2439.939,,1
2440.34521,,1
2440.63,,1
2440.76074,,1
2440.95215,,1
2441.10962,,1
2441.15039,,1
2441.24487,,1
2441.519,,1
2441.832,,1
2442.02954,,1
2442.35645,,1
2442.65234,,1
2442.87427,,1
2442.901,,1
2442.97119,,1
2442.98633,,1
2443.066,,1
2443.17,,1
2443.583,,1
2444.01538,,1
2444.14673,,1
2444.17236,,1
2444.60425,,1
2444.7124,,1
2444.931,,1
2444.94653,,1
2445.43286,,1
2445.44165,,1
2446.2312,,1
2446.85132,,1
2446.92773,,1
2447.5625,,1
2447.582,,1
2447.67627,,1
2447.8916,,1
2447.93164,,1
2448.1438,,1
2448.3894,,1
2448.40967,,1
