Ch1 Amplitude,Ch2 Amplitude,Cluster
2199.26514,,1
2252.613,,1
2271.41675,,1
2305.66968,,1
2335.13452,,1
2345.729,,1
2348.03418,,1
2351.267,,1
2352.98169,,1
2356.19116,,1
2375.07373,,1
2390.85864,,1
2403.2854,,1
2406.67,,1
2410.15,,1
2410.62427,,1
2412.274,,1
2416.0354,,1
2428.95776,,1
2435.761,,1
2438.95337,,1
2441.92725,,1
2442.6084,,1
2446.43921,,1
2447.02,,1
2447.50073,,1
2449.72266,,1
2456.30151,,1
2458.35278,,1
2462.53467,,1
2467.97559,,1
2468.67041,,1
2470.55957,,1
2480.22119,,1
2480.75977,,1
2483.549,,1
2484.19336,,1
2484.8772,,1
2487.591,,1
2493.23071,,1
2494.99854,,1
2498.56934,,1
2503.67358,,1
2506.51636,,1
2506.76074,,1
2508.29126,,1
2509.62354,,1
2510.08,,1
2511.51245,,1
2512.4458,,1
2514.09448,,1
2525.59546,,1
2527.23242,,1
2527.31445,,1
2528.00928,,1
2529.55151,,1
2530.42163,,1
2531.19165,,1
2531.78076,,1
2536.76733,,1
2538.74072,,1
2541.13574,,1
2542.645,,1
2546.194,,1
2546.78516,,1
2547.38477,,1
2547.99438,,1
2554.72656,,1
2555.741,,1
2557.21631,,1
2557.22339,,1
2557.98755,,1
2558.624,,1
2559.18164,,1
2560.021,,1
2560.37964,,1
2561.38281,,1
2564.21924,,1
2565.34,,1
2565.38281,,1
2565.80054,,1
2568.92944,,1
2569.094,,1
2569.73682,,1
2570.18042,,1
2573.39673,,1
2573.98438,,1
2574.08838,,1
2574.34131,,1
2575.28149,,1
2577.0437,,1
2579.1582,,1
2580.60181,,1
2582.38452,,1
2582.63867,,1
2583.30933,,1
2583.40112,,1
2586.30176,,1
2587.50146,,1
2587.807,,1
2588.804,,1
2589.03784,,1
2589.06372,,1
2589.56,,1
2590.34937,,1
2592.555,,1
2592.57373,,1
2592.606,,1
2592.96655,,1
2593.43,,1
2593.491,,1
2595.67456,,1
2595.782,,1
2595.82568,,1
2596.18018,,1
2596.901,,1
2596.99414,,1
2597.35034,,1
2597.71533,,1
2598.611,,1
2599.17261,,1
2599.54688,,1
2599.83716,,1
2600.018,,1
2600.20874,,1
2600.64063,,1
2600.71851,,1
2601.104,,1
2601.89185,,1
2602.70239,,1
2602.79614,,1
2602.86548,,1
2603.03174,,1
2604.09229,,1
2604.939,,1
2605.09155,,1
2605.88525,,1
2606.37036,,1
2606.53467,,1
2606.57959,,1
2607.37939,,1
2607.74829,,1
2608.24731,,1
2608.5835,,1
2608.73926,,1
2609.19946,,1
2609.2207,,1
2609.85254,,1
