Ch1 Amplitude,Ch2 Amplitude,Cluster
1188.95032,,1
1195.8175,,1
1216.33752,,1
1270.71484,,1
1367.07581,,1
1413.62183,,1
1468.9552,,1
1541.48633,,1
1583.472,,1
1603.97156,,1
1650.65564,,1
1673.07617,,1
1690.5957,,1
1694.58667,,1
1712.40784,,1
1723.78027,,1
1731.43579,,1
1766.31409,,1
1769.9115,,1
1770.34045,,1
1779.08386,,1
1782.55029,,1
1786.79956,,1
1788.597,,1
1792.37964,,1
1794.34607,,1
1794.38611,,1
1808.48926,,1
1813.41418,,1
1813.71912,,1
1814.4248,,1
1815.1748,,1
1815.47522,,1
1820.68311,,1
1823.99182,,1
1825.21423,,1
1826.84155,,1
1835.686,,1
1837.7655,,1
1840.43384,,1
1850.18457,,1
1851.75867,,1
1853.543,,1
1856.00891,,1
1860.65417,,1
1869.3335,,1
1873.96558,,1
1878.28528,,1
1879.28113,,1
1879.62354,,1
1882.899,,1
1885.93787,,1
1886.9386,,1
1888.18713,,1
1888.39575,,1
1890.98438,,1
1899.1709,,1
1900.298,,1
1902.30518,,1
1902.43494,,1
1906.486,,1
1915.8396,,1
1919.38611,,1
1919.46313,,1
1922.57422,,1
1922.67822,,1
1923.19775,,1
1924.35889,,1
1925.27539,,1
1930.56177,,1
1930.85754,,1
1934.07288,,1
1935.07971,,1
1936.52075,,1
1936.52869,,1
1940.41089,,1
1943.62354,,1
1944.52625,,1
1949.35461,,1
1950.70972,,1
1956.6189,,1
1961.70923,,1
1962.51062,,1
1963.35229,,1
1964.02917,,1
1964.32178,,1
1972.985,,1
1973.72864,,1
1975.68945,,1
1981.62354,,1
1981.91809,,1
1985.84558,,1
1986.86926,,1
1987.45032,,1
1988.38525,,1
1989.446,,1
1989.50293,,1
1992.35278,,1
1993.46643,,1
1995.08337,,1
1996.84766,,1
1999.4314,,1
1999.61328,,1
2002.8064,,1
2004.723,,1
2008.26184,,1
2008.52734,,1
2008.76038,,1
2009.084,,1
2012.408,,1
2015.46387,,1
2016.00244,,1
2016.13525,,1
2016.99438,,1
2017.91638,,1
2018.839,,1
2020.62585,,1
2022.04321,,1
2023.3,,1
2025.37,,1
2025.92786,,1
2033.129,,1
2033.393,,1
2036.07666,,1
2036.32666,,1
2038.00476,,1
2038.46094,,1
2045.13123,,1
2045.3031,,1
2048.52222,,1
2049.205,,1
2052.31616,,1
2054.51953,,1
2054.61987,,1
2061.4126,,1
2066.98584,,1
2067.149,,1
2067.21021,,1
2068.98071,,1
2069.08472,,1
2070.84619,,1
2074.52881,,1
2074.61914,,1
2074.9978,,1
2076.189,,1
2076.442,,1
2077.67944,,1
2080.95679,,1
2083.99854,,1
2085.821,,1
2088.093,,1
2088.967,,1
2092.39966,,1
2092.96948,,1
2093.75439,,1
2094.36963,,1
2094.7876,,1
2095.57129,,1
2097.07129,,1
2099.946,,1
2101.407,,1
2103.68872,,1
2104.37256,,1
2104.731,,1
2106.4353,,1
2108.60449,,1
2109.81763,,1
2110.273,,1
2111.49121,,1
2111.5708,,1
2113.52661,,1
2115.94824,,1
2116.81763,,1
2116.95728,,1
2117.138,,1
2117.24487,,1
2118.00952,,1
2118.747,,1
2122.18433,,1
2122.34058,,1
2126.23438,,1
2126.66138,,1
2127.22485,,1
2127.41138,,1
2127.66455,,1
2127.88818,,1
2129.848,,1
2130.34253,,1
2130.47559,,1
2130.81226,,1
2130.92188,,1
2132.32544,,1
2134.58667,,1
2135.425,,1
2138.71582,,1
2139.94751,,1
2141.406,,1
2141.99268,,1
2144.885,,1
2145.39136,,1
2146.31421,,1
2147.5127,,1
2148.0896,,1
2148.42676,,1
2149.64014,,1
2149.916,,1
2150.13867,,1
2152.123,,1
2154.75122,,1
2155.48315,,1
2157.16284,,1
2158.883,,1
2165.52979,,1
2167.128,,1
2168.72485,,1
2170.6106,,1
2172.79932,,1
2172.902,,1
2175.33667,,1
2178.83,,1
